425,Aditya Birla SL MNC Fund(G),1,Equity : Multi Cap,An open-ended growth scheme with the objective to achieve long-term growth of capital at relatively moderate levels of risk by making investments in securities of multi-national companies through a research based investment approach.
426,Aditya Birla SL MIP(G),Unrated,Hybrid : Debt Oriented,"The objective of the scheme is to generate regular income so as to make monthly distributions to unitholders with the secondary objective being growth of capital. Income may be from the receipt of coupon payments, the amortization of the discount on debt instruments, receipt of dividends or the purchase and sale of securities in the underlying portfolio.It will invest its net assets primarily in fixed income securities, money market instruments, cash and cash equivalents while at the same time maintaining a small exposure to equity markets."
430,Aditya Birla SL Equity Hybrid 95 Fund(G),4,Hybrid : Equity Oriented,"The fund seeks to achieve long-term capital appreciation and current income from a balanced portfolio with a target allocation of 60% equity, 40% debt and money market securities."
440,Aditya Birla SL Low Duration Fund(G),2,Debt : Ultra Short Term,To provide income which is consistent with a portfolio through investments in a basket of debt and money market instruments of very short maturities with a view to provide reasonable returns.
445,Aditya Birla SL Equity Fund(G),4,Equity : Multi Cap,"An open-end growth scheme with the objective of long term growth of capital, through a portfolio with a target allocation of 90% equity and 10% debt and money market securities."
447,Aditya Birla SL Frontline Equity Fund(G),4,Equity : Large Cap,"An open-end growth scheme with the objective of long term growth of capital, through a portfolio with a target allocation of 100% equity by aiming at being as diversified across various industries and or sectors as its chosen benchmark index, BSE 200."
451,Aditya Birla SL Banking & PSU Debt Fund(G)(Merged),4,Debt : Short Term,"To generate reasonable returns by primarily investing in debt and money market securities that are issued by Banks, Public Sector Undertakings (PSUs) and Public Financial Institutions (PFIs) in India."
453,Aditya Birla SL Corp Bond Fund(G),4,Debt : Short Term,The scheme aims to generate current income and capital appreciation from a portfolio that invests 100% in debt and money market securities.    
460,Aditya Birla SL Intl. Equity Fund-A(G),Unrated,Equity : International,"An open-ended diversified equity scheme with an objective to generate long-term growth of capital, by investing predominantly in a diversified portfolio of equity and equity related securities in the international markets."
462,Aditya Birla SL Intl. Equity Fund-B(G),Unrated,Equity : Multi Cap,"An open-ended diversified equity scheme with an objective to generate long-term growth of capital, by investing predominantly in a diversified portfolio of equity and equity related securities in the domestic and international markets."
466,Aditya Birla SL Inv Inc-QS I-Ret(G),Unrated,Debt : FTP/FMP,The investment objective of the scheme is to seek to generate regular returns and growth of capital by investing in a diversified portfolio of debt & money market securities maturing on or before the term of the Scheme.
468,Aditya Birla SL Savings Fund(G),4,Debt : Ultra Short Term,"The primary objective of the schemes is to generate regular income through investments in debt and money market instruments. Income maybe generated through the receipt of coupon payments or the purchase and sale of securities in the underlying portfolio. The schemes will undernormal market conditions, invest its net assets in fixed income securities, money market instruments, cash and cash equivalents."
477,Aditya Birla SL Small Cap Fund(G),4,Equity : Small Cap,"To generate consistent long-term capital appreciation by investing predominantly in equity and equity related securities of companies considered to be small and mid cap.The Scheme may also invest a certain portion of its corpus in fixed income securities including money market instruments, in order to meet liquidity requirements from time to time."
479,Aditya Birla SL Monthly Income(G),4,Hybrid : Debt Oriented,An open-end income scheme with the primary objective to generate regular income so as to make monthly and quarterly distributions to Unitholders and the secondary objective as growth of capital. Monthly income is not assured and is subject to availability of distributable surplus.
482,Aditya Birla SL Digital India Fund(G),Unrated,Equity : Sector-Tech,"The objective of long-term growth of capital through a portfolio with a target allocation of 100% equity, focusing on investing in technology and technology dependent companies, hardware, peripherals and components, software, telecom, media, internet and e-commerce and other technology enabled companies."
489,Aditya Birla SL Focused Equity Fund(G),4,Equity : Large Cap,"An Open Ended Growth Scheme which seeks to provide medium to long-term capital appreciation, by investing predominantly in a diversified portfolio of equity and equity related securities of top 100 companies as measured by market capitalization."
491,Baroda Pioneer Hybrid Equity Fund(G),3,Hybrid : Equity Oriented,"The Scheme is targeted for long term capital apprecitaion along with stability through a well balance portfolio comprising of equity, equity related instruments, money market instruments & debt securities."
497,Baroda Pioneer Gilt Fund(G),Unrated,Debt : Long Term,The scheme aims to generate income by investing in a portfolio of government securities. The corpus will be invested in sovereign securities issued by Central and State governments. 
500,Baroda Pioneer Multi Cap Fund(G),2,Equity : Multi Cap,"To provide long term capital appreciation through a well researched portfolio comprising of equity, equity related securities, money market instruments and debt securities."
502,Baroda Pioneer Income Fund(G),Unrated,Debt : Long Term,The main objective of the Scheme is to generate regular income by investing in a portfolio of good quality fixed income securities by maintaining a balance between risk and return.
506,Baroda Pioneer Conservative Hybrid Fund(G),Unrated,Hybrid : Debt Oriented,The scheme aims to generate regular income through investment in debt and money market instruments and also to generate long-term capital appreciation by investing a portion in equity and equity-related instruments.
513,Canara Rob Equity Debt Allocation Fund-Reg(G),3,Hybrid : Equity Oriented,To seek to generate long term capital appreciation and / or income from a portfolio constituted of equity and equity related securities as well as fixed income securities.(debt and money market securities)
520,Canara Rob Income Saver Fund-Reg(G),1,Hybrid : Debt Oriented,To generate income by investing in a wide range of debt securities and money market instruments of various maturities and risk profile and a small portion of investment in equities and equity related instruments.
523,Canara Rob Emerg Equities Fund-Reg(G),5,Equity : Multi Cap,"To generate capital appreciation by investing in a diversified portfolio of large and mid-cap stocks. However, there can be no assurance that the investment objective of the scheme will be realized."
526,Canara Rob Equity Diver Fund-Reg(G),3,Equity : Large Cap,To generate capital appreciation by investing in equity and equity related securities.
535,Canara Rob Savings Fund-Reg(G),3,Debt : Ultra Short Term,"To generate income/capital appreciation by investing in a portfolio comprising of low duration debt instruments and money market instruments. However, there can be no assurance that the investment objective of the scheme will be realized."
538,Canara Rob Gilt Fund-Reg(G),Unrated,Debt : Long Term,To provide risk free return (except interest rate risk) and long term capital appreciation by investing only in Govt. Securities.
542,Canara Rob Income Fund-Reg(G),2,Debt : Dynamic Bond,"The Scheme seeks to generate income and capital appreciation through a portfolio constituted of medium to long term debt and money market securities and issuers of different risk profiles. However, there can be no assurance that the investment objective of the scheme will be realized."
547,Canara Rob Infrastructure Fund-Reg(G),2,Equity : Sector-Infrastructure,To generate income / capital appreciation by investing in equities and equity related instruments of companies in the infrastructure sector.
580,L&T Ultra Short Term Fund(G),3,Debt : Ultra Short Term,"The Investment Objective is to generate reasonable and stable income and provide liquidity to the unit holder. To achieve this objective the scheme will invest predominantly in a well diversified and highly liquid portfolio of money market instruments, government securities and corporate debt. The scheme will not invest in equities or equity related instruments."
586,L&T Gilt Fund-Reg(G),3,Debt : Long Term,The scheme seeks to generate returns from a portfolio from investing in Government Securities. Income will be distributed only if the same is earned by the scheme and there can be no assurance that the objective of the scheme will be realized.
594,L&T Infrastructure Fund-Reg(G),5,Equity : Sector-Infrastructure,The scheme seeks to generate capital appreciation by investing predominantly in equity and equity related instruments of companies in the infrastructure sector.
608,L&T Liquid Fund(G),3,Debt : Liquid,"The scheme seeks to generate reasonable returns while maintaining safety and providing the investor superior liquidity. To achieve this objective invesments will predominantly made in a well-diversified and highly liquid portfolio of money market instruments, government securities and corporate debt."
611,L&T Midcap Fund-Reg(G),5,Equity : Mid Cap,To generate capital appreciation by investing primarily in midcap stocks.
614,L&T Conservative Hybrid Fund-Reg(G),Unrated,Hybrid : Debt Oriented,"To generate regular income through investments in a range of Debt, Equity and Money Market Instruments. Income will be distributed only if the same is earned by the Scheme and there can be no assurance that the objective of the Scheme will be realized."
621,L&T Money Market Fund-Reg(G),5,Debt : Ultra Short Term,To generate regular income through investment in a portfolio comprising substantially of money market instruments.
625,L&T Tax Saver Fund(G),Unrated,Equity : Tax Saving (ELSS),To provide long term capital appreciation by investing predominantly inequity and equity related instruments and also enabling investors to get income tax rebate as per the prevailing Tax Laws and subject to applicable conditions.
631,L&T Triple Ace Bond Fund-Reg(G),1,Debt : Medium Term,To generate regular return by investing predominantly in AA+ and above rated debt and money market instruments.
635,DSPBR Equity & Bond Fund-Reg(G),4,Hybrid : Equity Oriented, To generate long term capital appreciation and current income from a portfolio constituting equity and equity related securities as well as fixed income securities.
637,DSPBR Bond Fund-Reg(G),2,Debt : Medium Term,The fund aims at reasonable and attractive return consistent with prudent risk from a portfolio of high quality debt instruments.The secondary objectine is to generate capital appreciation. 
642,DSPBR Equity Fund-Reg(G),3,Equity : Multi Cap,"An open ended growth scheme, seeking to generate long term capital appreciation, from a portfolio that is substantially constituted of equity Securities of issuers domicited in india."
685,DSPBR Credit Risk Fund-Reg(G),4,Debt : Short Term,To seek to generate returns commensurate with risk from a portfolio constituted of money market securities and /or debt securities.
693,DSPBR G-Sec Fund-Reg(G),3,Debt : Long Term,To generate returns through investment in Central Government Securities of various maturities.
695,DSPBR Savings Fund-Reg(G),Unrated,Debt : Ultra Short Term,The primary investment objective of the Scheme is to generate income through investment in a portfolio comprising of money market instruments with maturity less than or equal to 1 year.
698,DSPBR India T.I.G.E.R Fund-Reg(G),3,Equity : Sector-Infrastructure,"An open ended diversified equity scheme, seeking to generate capital appreciation, from a portfolio that is substantially  constituted of equity securities and equity related securities of corporates, which could benefit from structural changes brought about by continuing liberalization in economic policies by the Government and/ or from  continuing investments in infrastructure, both by the public and private sector."
702,DSPBR Money Manager Fund-Reg(G),2,Debt : Ultra Short Term,To seek to generate returns commensurate with risk from a portfolio constituted of money market securities and/or debt securities.
708,DSPBR Liquidity Fund-Reg(G),3,Debt : Liquid,"An open ended income scheme seeking to generate a reasonable return commensurate with low risk and a high degree of liquitity, from a portfolio constituted of money market securities and high quality debt securities."
714,DSPBR Small Cap Fund-Reg(G),3,Equity : Small Cap,"The primary investment objective is to seek to generate long term capital appreciation from a portfolio that is substantially constituted of equity and equity related securities of small cap companies. From time to time, the fund manager will also seek participation in other equity and equity related securities to achieve optimal portfolio construction. There is no assurance that the investment objective of the Scheme will be realized."
716,DSPBR Equity Opportunities Fund-Reg(G),4,Equity : Multi Cap,"The primary investment objective is to seek to generate long term capital appreciation from a portfolio that is substantially constituted of equity and equity related securities of large and midcap Companies. From time to time, the fund manager will also seek participation in other equity and equity related securities to achieve optimal portfolio construction. There is no assurance that the investment objective of the Scheme will be realized."
719,DSPBR Regular Savings Fund-Reg(G),3,Hybrid : Debt Oriented,"The objective of the Scheme is to seek to generate an attractive return, consistent with prudent risk, from a portfolio which is substantially constituted of quality debt securities.It will also seek to generate capital appreciation by investing a smaller portion of its corpus in equity and equity related securities of the 100 largest corporates.The Scheme will also invest a certain portion of its corpus in money market securities, in order to meet liquidity requirements."
729,DSPBR Short Term Fund-Reg(G),2,Debt : Short Term,To seek to generate returns commensurate with risk from a portfolio constituted of money market securities and/or debt securities.
735,DSPBR Midcap Fund-Reg(G),4,Equity : Mid Cap,"The primary investment objective is to seek to generate long term capital appreciation from a portfolio that is substantially constituted of equity and equity related securities of midcap companies. From time to time, the fund manager will also seek participation in other equity and equity related securities to achieve optimal portfolio construction. There is no assurance that the investmentobjective of the Scheme will be realized."
742,DSPBR Strategic Bond Fund-Reg(G),2,Debt : Dynamic Bond,To generate optimal returns with high liquidity through active management of the portfolio by investing in high quality debt and money market securities.
745,DSPBR Tax Saver Fund-Reg(G),4,Equity : Tax Saving (ELSS),"The primary investment objective of the Scheme is to seek to generate medium to long-term capital appreciationfrom a diversified portfolio that is substantially constituted of equity and equity related securities of corporates, andto enable investors avail of a deduction from total income, as permitted under the Income Tax Act, 1961 from time to time."
748,DSPBR Top 100 Equity Fund-Reg(G),3,Equity : Large Cap,To generate capital appreciation from a portfolio that is substantially constituted of equity and equity related securities of 100 largest corporates by market capitalisation listed in India.
755,DSPBR World Gold Fund-Reg(G),Unrated,Equity : International,"An open ended Fund of Funds scheme seeking to generate capital appreciation by investing predominantly in units of BlackRock Global Funds - World Gold Fund (BGF-WGF). The Scheme may, at the discretion of the Investment Manager, also invest in the units of other similar overseas mutual fund schemes, which may constitute a significant part of its corpus."
758,DHFL Pramerica Large Cap Fund(G),2,Equity : Large Cap,"The Investment objective of the Scheme is to generate long term capital growth from a diversified portfolio of equity and equity related securities of predominantly large cap companies. However, there can be no assurance that the investment objective of the Scheme will be achieved. The Schemedoes not guarantee/ indicate any returns."
762,DHFL Pramerica Low Duration Fund(G),4,Debt : Ultra Short Term,"The objective of the Scheme is to seek to generate income through investment primarily in low duration debt & money market securities. However, there can be no assurance that the investmentobjective of the Scheme will be achieved. The Scheme does not guarantee/ indicate any returns."
815,DHFL Pramerica Euro Equity Fund(G),Unrated,Equity : International,The primary investment objective of the Scheme is to generate long term capital growth from a diversified portfolio of units of overseas mutual funds.
818,DHFL Pramerica Insta Cash Fund(G),2,Debt : Liquid,"The investment objective of the Scheme is to generate steady returns with high liquidity by investing in a portfolio of short term, high quality money market and debt instruments. However, there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns."
835,DHFL Pramerica Hybrid Equity Fund(G),2,Hybrid : Equity Oriented,"The investment objective of the scheme is to seek to generate long term capital appreciation and income from a portfolio of equity and equity related securities as well as fixed income securities.However, there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/ indicate any returns."
845,DHFL Pramerica Equity Savings Fund(G),Unrated,Hybrid : Equity Oriented,"The investment objective of the scheme is to provide capital appreciation and income distribution to the investors by using equity and equity related instruments, arbitrage opportunities and investments in debt and money market instruments. However, there can be no assurance that the investmentobjective of the Scheme will be realized or that income will be generated and the scheme does not assure or guarantee any returns."
854,DHFL Pramerica Premier Bond Fund(G),2,Debt : Short Term,"The investment objective of the Scheme is to seek to generate income and capital appreciation bypredominantly investing in AA+ and above rated corporate bonds. However, there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns."
858,DHFL Pramerica Short Maturity Fund(G),4,Debt : Short Term,"The investment objective of the Scheme is to seek to generate returns with low to medium market risk for investors by investing in a portfolio of short -medium term debt and money market securities.However, there can be no assurance that the investment objective of the Scheme will be achieved. The Scheme does not guarantee/indicate any returns."
863,DHFL Pramerica Tax Plan(G),Unrated,Equity : Tax Saving (ELSS),The scheme aims to generate long term capital appreciation from a portfolio that is invested predominantly in equity and equity related instruments. 
865,Escorts Balanced Fund(G),Unrated,Hybrid : Equity Oriented,To generate long term Capital Appreciation and current income from a portfolio of equity & fixed income securities.
867,Escorts Short Term Debt(G),Unrated,Debt : Ultra Short Term,"To generate regular income through investment in a portfolio comprising substantially of Floating Rate DebtSecurities (including floating rate securitized debt, Money Market Instruments and Fixed Rate Debt Instruments swapped for floating rate returns).The scheme shall also invest in Fixed Rate Debt Securities (including fixed rate securitized debt, Money Market Instruments and Floating Rate Debt Instruments swapped for fixed returns."
869,Escorts Gilt(G),Unrated,Debt : Long Term,To generate income and capital appreciation through investments in Government Securities . The aim is to generate returns commensurate with minimal credit risk by investing in securities created and issued by the Central Government and/or a State Government and/or repos/reverse repos in such government securities as may be permitted by RBI.
871,Escorts Growth(G),Unrated,Equity : Multi Cap,To generate Capital Appreciation by investing predominantly in a well diversified portfolio of Equity Shares with growth potential. This income may be complemented by possible dividend and other Income.
874,Escorts High Yield Eq(G),Unrated,Equity : Multi Cap,"To generate income by investing predominantly in well diversified portfolio of equity stocks providing high dividend yield but at the same time capture long term capital appreciation as and when the opportunity arises .This long style of investment tries to locate , in a disciplined manner, shares ,which for a variety of reason are selling at prices which are substantially lower than the companys actual business value or future earnings potential, and are also yielding a higher return than normal dividend yield. These companies would be backed by stable earnings in the past while offering fair growth potential in the future."
876,Escorts Income Bond(G),Unrated,Hybrid : Debt Oriented,To generate current income by investing predominantly in a well diversified portfolio of Fixed Income Securities with moderate risk levels. This income may be complemented by possible Capital Appreciation.
879,Escorts Income Plan(G),Unrated,Debt : Long Term,To generate current income by investing predominantly in a well diversified portfolio of Fixed Income securities with moderate risk levels. This income may be complemented by possible Capital Appreciation.
881,Escorts Infrastructure Fund(G),Unrated,Equity : Sector-Infrastructure,The investment objective of the Scheme is to provide income distribution and / or medium to long term capital gains by investing predominantly in equity/equity related instruments of the companies in the infrastructure sector.
883,Escorts Liquid Plan(G),Unrated,Debt : Liquid,To provide income and liquidity consistent with the prudent risk from a portfolio comprising of MoneyMarket and Debt Instruments. This income may be complemented by possible capital appreciation. The aim is to optimize returns while providing liquidity.
887,Escorts Opp Fund(G),Unrated,Hybrid : Debt Oriented,"The scheme seeks stable and regular income through an actively managed protfolio of stocks, bonds and moneymarket instruments. The asset allocation is dynamically planned to capture the best of the opportunities in equityand debt Exposure in equity is a blend of large and mid cap stocks, skewed largely towards the well-researched blue chips. In debt, the scheme invests mainly in Central and State Government debt papers besides PSUs and bank bonds. The highlight of the scheme is the extensive use of derivatives not only as a hedging tool but also in generating regular income, which in turn enhances the overall portfolios risk-adjusted return."
889,Escorts Tax(G),Unrated,Equity : Tax Saving (ELSS),To generate Capital Appreciation by investing predominantly in a well diversified portfolio of Equity Shares with growth potential. This Income may be complemented by possible dividend and other income.
898,L&T Cash Fund-Reg(G),1,Debt : Liquid,The investment objective of the Scheme is to generate regular returns in line with the overnight rates.
903,L&T Equity Fund-Reg(G),3,Equity : Multi Cap,To generate long-term capital growth from a diversified portfolio of predominantly equity and equity-related securities.
905,L&T India Large Cap Fund-Reg(G),2,Equity : Large Cap,"To generate long-term capital appreciation from a diversified portfolio of predominantly equity and equity related securities, including equity derivatives, in the Indian markets. The Scheme could also additionally invest in Foreign Securities in international markets."
907,L&T Large and Midcap Fund-Reg(G),3,Equity : Multi Cap,To generate long-term capital growth from a diversified porftolio of predominantly equity and equity-related securities including equity derivatives.
916,L&T Banking and PSU Debt Fund-Reg(G),3,Debt : Short Term,"The investment objective of the Scheme is to seek to generate reasonable returns by primarily investing in debt and money market securities that are issued by Banks, Public Sector Undertakings (PSUs) and Public Financial Institutions (PFIs) in India. There is no assurance that the investment objective of the Scheme will be realized and the Scheme does not assure or guarantee any returns."
925,L&T Flexi Bond Fund-Reg(G),Unrated,Debt : Dynamic Bond,To generate reasonable returns through a diversified portfolio of fi xed income securities.
927,L&T Tax Advt Fund-Reg(G),5,Equity : Tax Saving (ELSS),To generate long-term capital growth from a diversified portfolio of predominantly equity and equity-related securities.
931,Franklin India Bluechip Fund(G),3,Equity : Large Cap,"An open-ended equity fund that aims to achieve steady and consistent capital appreciation through investment in well-established, large size bluechip companies. It is an open end growth scheme with an objective to primarily provide medium to long-term capital appreciation. "
933,Franklin India Equity Advantage Fund(G),2,Equity : Multi Cap,To provide medium to long - term capital appreciation by investing in stocks across the entire market capitalistion range.
938,Franklin India Focused Equity Fund(G),3,Equity : Multi Cap,To achieve capital appreciation through investments in Indian companies/sectors with high growth rates or potential.
942,Franklin India Index Fund-NSE Nifty(G),2,Equity : Large Cap,The scheme aims to provide returns that closely correspond to the total return of stocks as represented by S&P CNX Nifty.This would be done by investing in all the stocks comprising the S&P CNX Nifty Index in approximately the same weightage that they represent in the S&P CNX Nifty Index. 
946,Franklin India Opportunities Fund(G),2,Equity : Multi Cap,Aims to achieve long term capital appreciation by capitalising on the long term growth opportunities in the Indian economy
948,Franklin India Prima Fund(G),3,Equity : Mid Cap,Aims to provide long term capital appreciation as primary objective and income as secondary objective. The fund aims to achieve a high degree of capital appreciation through investments in smaller and faster growing companies
950,Franklin India Equity Fund(G),2,Equity : Multi Cap,"A diversified equity fund that seeks to provide capital appreciation by investing in companies focused on shareholder wealth creation. It is an open ended growth scheme with the objective to provide growth of capital plus regular dividends through a diversified portfolio of equities, fixed income securities and money market instruments. "
952,Franklin India Smaller Cos Fund(G),3,Equity : Small Cap,An open end diversified equity fund that seeks to provide long term capital appreciation by investing in mid and small cap companies.
957,Franklin India Taxshield(G),2,Equity : Tax Saving (ELSS),To provide medium to long term growth of capital along with income tax rebate.
961,Franklin India Technology Fund(G),Unrated,Equity : Sector-Tech,To provide long-term capital appreciation by predominantly investing in equity and equity relatedsecurities of technology and technology related companies.
999,Franklin India Equity Hybrid Fund(G),3,Hybrid : Equity Oriented,The fund aims to provide long term growth of capital and current income by investing in equity and equity related securities and fixed income instruments.
1001,Franklin India Dynamic PE Ratio FOFs(G),Unrated,Equity : FoF,An open end fund of funds which Seeks to provide long-term capital appreciation with relatively lower volatility through a dynamically balanced portfolio of equity and income funds.
1009,Franklin India Life Stage FOFs-50s +FR(G),Unrated,Debt : FoF,To generate superior risk adjusted returns to the investors in line with their chosen asset allocation
1011,Franklin India Life Stage FOFs-20(G),Unrated,Equity : FoF,To generate superior risk adjusted returns to the investors in line with their chosen asset allocation
1013,Franklin India Life Stage FOFs-30(G),Unrated,Equity : FoF,To generate superior risk adjusted returns to the investors in line with their chosen asset allocation.
1015,Franklin India Life Stage FOFs-40(G),Unrated,Debt : FoF,To generate superior risk adjusted returns to the investors in line with their chosen asset allocation.
1017,Franklin India Life Stage FOFs-50(G),Unrated,Debt : FoF,To generate superior risk adjusted returns to the investors in line with their chosen asset allocation
1018,Franklin India Debt Hybrid Fund(G),1,Hybrid : Debt Oriented,The scheme will use a judicious mix of high quality fixed income securities and equity shares to generate a reasonable return on the portfolio
1024,Reliance ETF Gold BeES,Unrated,Gold : ETFs,"The investment objective of R*Shares Gold BeES is to provide returns that, before expenses, closely correspond to the returns provided by Domestic price of Gold through investment in physical gold."
1032,IDFC Cash Fund-Reg(G),3,Debt : Liquid,IDFC-CF is an open-ended liquid fund with an objective to generate optimal returns with high liquidity by investing in high quality money market and debt instruments. However there is no assurance that the investment objective of the scheme will be realized.
1052,IDFC Money Manager Fund-Reg(G),2,Debt : Ultra Short Term,"To generate stable returns with a low risk strategy by creating a portfolio that is substantially invested in good quality floating rate debt or money market instruments, fixed rate debt or money market instruments swapped for floating rate returns and fixed rate returns."
